5,20,10,0.000000
1005,1009020,504510,0.002000
2005,4018020,2009010,0.006000
3005,9027020,4513510,0.014000
4005,16036020,8018010,0.028000
5005,25045020,12522510,0.043000
6005,36054020,18027010,0.059000
7005,49063020,24531510,0.079000
8005,64072020,32036010,0.103000
9005,81081020,40540510,0.130000
10005,100090020,50045010,0.160000
11005,121099020,60549510,0.193000
12005,144108020,72054010,0.230000
13005,169117020,84558510,0.268000
14005,196126020,98063010,0.316000
15005,225135020,112567510,0.357000
16005,256144020,128072010,0.406000
17005,289153020,144576510,0.457000
18005,324162020,162081010,0.514000
19005,361171020,180585510,0.576000
20005,400180020,200090010,0.632000
21005,441189020,220594510,0.698000
22005,484198020,242099010,0.771000
23005,529207020,264603510,0.845000
24005,576216020,288108010,0.918000
25005,625225020,312612510,1.014000
26005,676234020,338117010,1.076000
27005,729243020,364621510,1.168000
28005,784252020,392126010,1.255000
29005,841261020,420630510,1.351000
30005,900270020,450135010,1.500000
31005,961279020,480639510,1.550000
32005,1024288020,512144010,1.701000
33005,1089297020,544648510,1.742000
34005,1156306020,578153010,1.958000
35005,1225315020,612657510,2.094000
36005,1296324020,648162010,2.124000
37005,1369333020,684666510,2.210000
38005,1444342020,722171010,2.467000
39005,1521351020,760675510,2.550000
40005,1600360020,800180010,2.624000
41005,1681369020,840684510,2.724000
42005,1764378020,882189010,2.844000
43005,1849387020,924693510,2.981000
44005,1936396020,968198010,3.114000
45005,2025405020,1012702510,3.244000
46005,2116414020,1058207010,3.438000
47005,-2085544276,-1042772138,3.521000
48005,-1990535276,-995267638,3.688000
49005,-1893526276,-946763138,3.896000
50005,-1794517276,-897258638,4.035000
51005,-1693508276,-846754138,4.173000
52005,-1590499276,-795249638,4.312000
53005,-1485490276,-742745138,4.551000
54005,-1378481276,-689240638,4.712000
55005,-1269472276,-634736138,4.834000
56005,-1158463276,-579231638,5.046000
57005,-1045454276,-522727138,5.230000
58005,-930445276,-465222638,5.446000
59005,-813436276,-406718138,5.592000
60005,-694427276,-347213638,5.802000
61005,-573418276,-286709138,5.923000
62005,-450409276,-225204638,6.266000
63005,-325400276,-162700138,6.306000
64005,-198391276,-99195638,6.615000
65005,-69382276,-34691138,6.773000
66005,61626724,30813362,7.054000
67005,194635724,97317862,7.344000
68005,329644724,164822362,7.368000
69005,466653724,233326862,7.659000
70005,605662724,302831362,7.875000
71005,746671724,373335862,8.154000
72005,889680724,444840362,8.436000
73005,1034689724,517344862,8.498000
74005,1181698724,590849362,8.810000
75005,1330707724,665353862,9.277000
76005,1481716724,740858362,9.302000
77005,1634725724,817362862,9.471000
78005,1789734724,894867362,9.726000
79005,1946743724,973371862,9.935000
80005,2105752724,1052876362,10.252000
81005,-2028205572,-1014102786,10.524000
82005,-1865196572,-932598286,11.035000
83005,-1700187572,-850093786,11.045000
84005,-1533178572,-766589286,11.735000
85005,-1364169572,-682084786,11.889000
86005,-1193160572,-596580286,12.274000
87005,-1020151572,-510075786,12.431000
88005,-845142572,-422571286,12.563000
89005,-668133572,-334066786,12.758000
90005,-489124572,-244562286,12.901000
91005,-308115572,-154057786,13.227000
92005,-125106572,-62553286,13.574000
93005,59902428,29951214,14.030000
94005,246911428,123455714,14.151000
95005,435920428,217960214,14.439000
96005,626929428,313464714,14.717000
97005,819938428,409969214,15.404000
98005,1014947428,507473714,15.518000
99005,1211956428,605978214,15.718000
100005,1410965428,705482714,17.686000
