1000, 320, 1000000, 0.005000
2000, 649, 4000000, 0.019000
3000, 972, 9000000, 0.037000
4000, 1294, 16000000, 0.063000
5000, 1622, 25000000, 0.091000
6000, 1939, 36000000, 0.127000
7000, 2270, 49000000, 0.171000
8000, 2602, 64000000, 0.227000
9000, 2926, 81000000, 0.272000
10000, 3258, 100000000, 0.322000



10, 2, 100, 0.000000
20, 4, 400, 0.000000
30, 8, 900, 1.000000
40, 10, 1600, 0.000000
50, 12, 2500, 0.000000
60, 16, 3600, 0.000000
70, 18, 4900, 0.000000
80, 22, 6400, 0.000000
90, 25, 8100, 0.000000
100, 27, 10000, 0.000000
110, 31, 12100, 0.000000
120, 33, 14400, 0.000000
130, 36, 16900, 0.000000
140, 40, 19600, 0.000000
150, 42, 22500, 1.000000
160, 45, 25600, 0.000000
170, 47, 28900, 1.000000
180, 51, 32400, 0.000000
190, 55, 36100, 0.000000
200, 59, 40000, 0.000000
210, 61, 44100, 1.000000
220, 65, 48400, 1.000000
230, 70, 52900, 1.000000
240, 73, 57600, 1.000000
250, 76, 62500, 1.000000
260, 79, 67600, 1.000000
270, 83, 72900, 1.000000
280, 85, 78400, 2.000000
290, 88, 84100, 2.000000
300, 92, 90000, 1.000000
310, 97, 96100, 1.000000
320, 100, 102400, 1.000000
330, 104, 108900, 1.000000
340, 106, 115600, 1.000000
350, 108, 122500, 2.000000
360, 111, 129600, 1.000000
370, 116, 136900, 2.000000
380, 118, 144400, 2.000000
390, 121, 152100, 2.000000
400, 123, 160000, 2.000000
410, 127, 168100, 2.000000
420, 130, 176400, 2.000000
430, 134, 184900, 2.000000
440, 138, 193600, 2.000000
450, 141, 202500, 3.000000
460, 143, 211600, 2.000000
470, 148, 220900, 2.000000
480, 153, 230400, 1.000000
490, 157, 240100, 2.000000
500, 158, 250000, 2.000000
510, 161, 260100, 3.000000
520, 165, 270400, 3.000000
530, 168, 280900, 3.000000
540, 172, 291600, 3.000000
550, 175, 302500, 2.000000
560, 177, 313600, 3.000000
570, 180, 324900, 4.000000
580, 183, 336400, 4.000000
590, 185, 348100, 2.000000
600, 189, 360000, 2.000000
610, 192, 372100, 4.000000
620, 195, 384400, 3.000000
630, 199, 396900, 3.000000
640, 201, 409600, 4.000000
650, 205, 422500, 6.000000
660, 209, 435600, 4.000000
670, 214, 448900, 3.000000
680, 220, 462400, 4.000000
690, 222, 476100, 5.000000
700, 225, 490000, 4.000000
710, 228, 504100, 4.000000
720, 231, 518400, 5.000000
730, 233, 532900, 5.000000
740, 237, 547600, 6.000000
750, 240, 562500, 6.000000
760, 243, 577600, 6.000000
770, 246, 592900, 6.000000
780, 248, 608400, 7.000000
790, 250, 624100, 6.000000
800, 252, 640000, 8.000000
810, 258, 656100, 7.000000
820, 260, 672400, 8.000000
830, 264, 688900, 7.000000
840, 266, 705600, 7.000000
850, 269, 722500, 8.000000
860, 273, 739600, 8.000000
870, 279, 756900, 9.000000
880, 283, 774400, 7.000000
890, 285, 792100, 9.000000
900, 288, 810000, 8.000000
910, 291, 828100, 9.000000
920, 295, 846400, 10.000000
930, 298, 864900, 8.000000
940, 303, 883600, 10.000000
950, 307, 902500, 9.000000
960, 310, 921600, 10.000000
970, 312, 940900, 9.000000
980, 315, 960400, 10.000000
990, 318, 980100, 11.000000
1000, 320, 1000000, 9.000000
