10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0.035714
90,0
100,0.071429
110,0.071429
120,0.035714
130,0.071429
140,0.071429
150,0.142857
160,0.392857
170,0.178571
180,0.214286
190,0.178571
200,0.321429
210,0.607143
220,0.357143
230,0.857143
240,0.857143
250,0.357143
260,0.392857
270,0.535714
280,0.428571
290,0.428571
300,0.642857
310,0.892857
320,0.607143
330,0.75
340,0.678571
350,1
360,1.107143
370,0.785714
380,0.821429
390,1.285714
400,0.857143
410,0.928571
420,1.035714
430,1
440,1.035714
450,1.785714
460,1.142857
470,1.285714
480,1.392857
490,1.5
500,2.392857
510,1.678571
520,1.535714
530,1.642857
540,1.678571
550,1.714286
560,1.857143
570,1.857143
580,1.928571
590,2.035714
600,2
610,2.142857
620,2.392857
630,2.107143
640,2.321429
650,2.571429
660,2.642857
670,2.607143
680,2.642857
690,3.428571
700,4.392857
710,3.892857
720,3.5
730,3.25
740,3.464286
750,3.357143
760,4.607143
770,3.821429
780,3.392857
790,3.892857
800,3.607143
810,4.142857
820,4.285714
830,3.857143
840,3.964286
850,5.214286
860,4.75
870,4.964286
880,4.857143
890,5.035714
900,4.785714
910,5.285714
920,5
930,5
940,5.321429
950,5.071429
960,5.892857
970,7.285714
980,6.214286
990,5.428571
1000,6.142857
