20, 0.000000
40, 0.000000
60, 0.000000
80, 0.000000
100, 0.035714
120, 0.035714
140, 0.107143
160, 0.178571
180, 0.285714
200, 0.178571
220, 0.214286
240, 0.285714
260, 0.357143
280, 0.535714
300, 0.642857
320, 0.714286
340, 0.750000
360, 0.821429
380, 0.714286
400, 1.178571
420, 1.035714
440, 1.142857
460, 1.964286
480, 2.535714
500, 1.214286
520, 1.571429
540, 1.642857
560, 2.000000
580, 1.678571
600, 2.464286
620, 3.571429
640, 2.035714
660, 2.464286
680, 2.892857
700, 2.607143
720, 2.857143
740, 3.714286
760, 3.035714
780, 3.250000
800, 3.357143
820, 4.142857
840, 8.250000
860, 3.928571
880, 4.607143
900, 4.357143
920, 4.821429
940, 6.428571
960, 5.857143
980, 8.571429
1000, 6.892857
