10, 0.000000
20, 0.000000
30, 0.000000
40, 0.000000
50, 0.000000
60, 0.000000
70, 0.071429
80, 0.000000
90, 0.035714
100, 0.071429
110, 0.035714
120, 0.071429
130, 0.035714
140, 0.071429
150, 0.107143
160, 0.214286
170, 0.250000
180, 0.214286
190, 0.214286
200, 0.250000
210, 0.250000
220, 0.250000
230, 0.357143
240, 0.357143
250, 0.500000
260, 0.464286
270, 0.464286
280, 0.428571
290, 0.464286
300, 0.571429
310, 0.535714
320, 0.892857
330, 0.928571
340, 0.714286
350, 0.678571
360, 0.821429
370, 1.607143
380, 0.785714
390, 1.392857
400, 1.000000
410, 1.000000
420, 2.214286
430, 1.142857
440, 1.000000
450, 2.571429
460, 2.714286
470, 1.142857
480, 2.035714
490, 1.321429
500, 1.357143
510, 1.500000
520, 1.571429
530, 1.607143
540, 1.714286
550, 2.428571
560, 1.892857
570, 1.964286
580, 2.035714
590, 1.964286
600, 2.035714
610, 2.678571
620, 5.142857
630, 2.214286
640, 2.285714
650, 2.214286
660, 2.464286
670, 2.500000
680, 2.607143
690, 3.357143
700, 2.607143
710, 2.714286
720, 3.000000
730, 3.607143
740, 3.392857
750, 3.392857
760, 4.250000
770, 3.714286
780, 3.607143
790, 3.321429
800, 3.750000
810, 5.321429
820, 3.785714
830, 4.750000
840, 5.392857
850, 4.321429
860, 4.107143
870, 5.000000
880, 5.428571
890, 4.714286
900, 5.107143
910, 5.107143
920, 5.607143
930, 5.892857
940, 5.821429
950, 6.000000
960, 5.357143
970, 6.821429
980, 6.678571
990, 5.714286
1000, 6.607143
