
5, 0.000000
10, 0.000000
15, 0.000000
20, 0.000000
25, 0.000000
30, 0.000000
35, 0.000036
40, 0.000071
45, 0.000071
50, 0.000143
55, 0.000107
60, 0.000179
65, 0.000250
70, 0.000179
75, 0.000179
80, 0.000429
85, 0.000321
90, 0.000500
95, 0.000393
100, 0.000679
105, 0.000786
110, 0.000893
115, 0.001000
120, 0.001071
125, 0.001250
130, 0.001321
135, 0.001571
140, 0.001786
145, 0.002000
150, 0.002286
155, 0.002429
160, 0.002607
165, 0.002857
170, 0.003036
175, 0.003107
180, 0.003786
185, 0.004000
190, 0.004393
195, 0.004464
200, 0.005000
205, 0.005429
210, 0.005786
215, 0.006214
220, 0.006893
225, 0.007036
230, 0.007464
235, 0.008000
240, 0.008607
245, 0.009000
250, 0.009643
255, 0.010143
260, 0.010679
265, 0.011286
270, 0.011964
275, 0.012679
280, 0.013286
285, 0.014071
290, 0.014321
295, 0.015536
300, 0.016464
305, 0.017107
310, 0.018107
315, 0.018643
320, 0.019964
325, 0.020607
330, 0.021714
335, 0.022536
340, 0.023643
345, 0.024536
350, 0.025786
355, 0.026857
360, 0.028036
365, 0.029750
370, 0.030321
375, 0.031929
380, 0.033429
385, 0.034679
390, 0.035786
395, 0.036679
400, 0.038071
405, 0.039607
410, 0.040857
415, 0.042607
420, 0.044250
425, 0.045679
430, 0.047071
435, 0.049071
440, 0.050286
445, 0.052357
450, 0.053929
455, 0.056000
460, 0.057964
465, 0.059464
470, 0.061607
475, 0.063536
480, 0.065679
485, 0.067786
490, 0.069643
495, 0.071714
500, 0.075036
505, 0.078000
510, 0.079000
515, 0.080679
520, 0.082393
525, 0.085143
530, 0.087321
535, 0.090429
540, 0.092964
545, 0.095143
550, 0.097607
555, 0.100643
560, 0.103786
565, 0.106107
570, 0.108786
575, 0.112643
580, 0.115857
585, 0.117643
590, 0.120429
595, 0.123857
600, 0.126714
605, 0.130107
610, 0.132929
615, 0.136714
620, 0.139821
625, 0.144964
630, 0.146607
635, 0.153464
640, 0.153786
645, 0.157357
650, 0.160714
655, 0.164929
660, 0.167821
665, 0.172571
670, 0.175821
675, 0.180107
680, 0.186714
685, 0.187929
690, 0.192143
695, 0.197179
700, 0.200321
705, 0.204750
710, 0.209214
715, 0.213536
720, 0.220679
725, 0.222571
730, 0.226571
735, 0.231536
740, 0.236464
745, 0.240464
750, 0.246214
755, 0.254321
760, 0.255679
765, 0.260357
770, 0.265893
775, 0.272321
780, 0.277464
785, 0.285000
790, 0.288500
795, 0.293286
800, 0.298071
805, 0.303964
810, 0.309179
815, 0.318964
820, 0.320607
825, 0.326286
830, 0.332536
835, 0.337750
840, 0.347357
845, 0.350571
850, 0.357607
855, 0.363036
860, 0.369321
865, 0.381286
870, 0.382714
875, 0.389643
880, 0.396393
885, 0.404750
890, 0.410929
895, 0.416821
900, 0.422857
905, 0.430714
910, 0.441321
915, 0.444286
920, 0.453679
925, 0.458250
930, 0.468500
935, 0.474464
940, 0.481250
945, 0.492679
950, 0.498071
955, 0.505929
960, 0.513250
965, 0.525143
970, 0.529643
975, 0.537250
980, 0.549000
985, 0.553643
990, 0.562714
995, 0.574929
1000, 0.578929
