100, 0.000000
200, 0.000000
300, 0.000000
400, 0.000000
500, 0.000000
600, 0.000000
700, 0.000000
800, 0.035714
900, 0.000000
1000, 0.000000
1100, 0.000000
1200, 0.000000
1300, 0.000000
1400, 0.000000
1500, 0.035714
1600, 0.000000
1700, 0.000000
1800, 0.035714
1900, 0.071429
2000, 0.035714
2100, 0.071429
2200, 0.035714
2300, 0.035714
2400, 0.035714
2500, 0.071429
2600, 0.035714
2700, 0.035714
2800, 0.035714
2900, 0.071429
3000, 0.071429
3100, 0.107143
3200, 0.071429
3300, 0.071429
3400, 0.107143
3500, 0.071429
3600, 0.107143
3700, 0.107143
3800, 0.071429
3900, 0.107143
4000, 0.142857
4100, 0.107143
4200, 0.107143
4300, 0.107143
4400, 0.142857
4500, 0.142857
4600, 0.107143
4700, 0.142857
4800, 0.142857
4900, 0.142857
5000, 0.142857
5100, 0.214286
5200, 0.107143
5300, 0.142857
5400, 0.178571
5500, 0.142857
5600, 0.178571
5700, 0.178571
5800, 0.178571
5900, 0.178571
6000, 0.178571
6100, 0.178571
6200, 0.250000
6300, 0.178571
6400, 0.214286
6500, 0.214286
6600, 0.178571
6700, 0.214286
6800, 0.178571
6900, 0.214286
7000, 0.178571
7100, 0.178571
7200, 0.250000
7300, 0.214286
7400, 0.321429
7500, 0.214286
7600, 0.250000
7700, 0.214286
7800, 0.285714
7900, 0.214286
8000, 0.250000
8100, 0.214286
8200, 0.250000
8300, 0.428571
8400, 0.500000
8500, 0.428571
8600, 0.464286
8700, 0.250000
8800, 0.285714
8900, 0.250000
9000, 0.285714
9100, 0.250000
9200, 0.321429
9300, 0.285714
9400, 0.285714
9500, 0.285714
9600, 0.285714
9700, 0.321429
9800, 0.285714
9900, 0.321429
10000, 0.321429
