100,120,0
200,245,0
300,370,0
400,495,0
500,620,0
600,745,0
700,870,0
800,995,0
900,1120,0
1000,1245,0
1100,1370,0
1200,1495,0
1300,1620,0
1400,1745,0
1500,1870,0
1600,1995,0
1700,2120,0
1800,2245,0
1900,2370,0
2000,2495,0
2100,2620,0
2200,2745,0
2300,2870,0
2400,2995,0
2500,3120,0
2600,3245,0
2700,3370,0
2800,3495,0
2900,3620,0
3000,3745,0
3100,3870,0
3200,3995,0
3300,4120,0
3400,4245,0
3500,4370,0
3600,4495,0
3700,4620,0
3800,4745,0
3900,4870,0
4000,4995,0
4100,5120,0
4200,5245,0
4300,5370,0
4400,5495,0
4500,5620,0
4600,5745,0
4700,5870,0
4800,5995,0
4900,6120,0
5000,6245,0
5100,6370,0
5200,6495,0
5300,6620,0
5400,6745,0
5500,6870,0
5600,6995,0
5700,7120,0
5800,7245,0
5900,7370,0
6000,7495,0
6100,7620,0
6200,7745,0
6300,7870,0
6400,7995,0
6500,8120,0
6600,8245,0
6700,8370,0
6800,8495,0
6900,8620,0
7000,8745,0
7100,8870,0
7200,8995,0
7300,9120,0
7400,9245,0
7500,9370,0
7600,9495,0
7700,9620,0
7800,9745,0
7900,9870,0
8000,9995,0
8100,10120,0
8200,10245,0
8300,10370,0
8400,10495,0
8500,10620,0
8600,10745,0
8700,10870,0
8800,10995,0
8900,11120,0
9000,11245,0
9100,11370,0
9200,11495,0
9300,11620,0
9400,11745,0
9500,11870,0
9600,11995,0
9700,12120,0
9800,12245,0
9900,12370,0
10000,12495,0
10100,12620,0
10200,12745,0
10300,12870,0
10400,12995,0
10500,13120,0
10600,13245,0
10700,13370,0
10800,13495,0
10900,13620,0
11000,13745,0
11100,13870,0
11200,13995,0
11300,14120,0
11400,14245,0
11500,14370,0
11600,14495,0
11700,14620,0
11800,14745,0
11900,14870,0
12000,14995,0.035714
12100,15120,0
12200,15245,0
12300,15370,0
12400,15495,0
12500,15620,0
12600,15745,0
12700,15870,0
12800,15995,0
12900,16120,0.035714
13000,16245,0
13100,16370,0
