22,605,925,0.000000
20,556,761,0.000000
18,507,613,0.000000
16,432,481,0.000000
14,370,365,0.000000
12,330,265,0.000000
10,263,181,0.000000
8,187,113,0.000000
6,116,61,0.000000
4,62,25,0.000000
2,24,5,0.000000



5000,154543,49990001,0.327000
4900,151461,48010201,0.311000
4800,148343,46070401,0.300000
4700,145257,44170601,0.293000
4600,142227,42310801,0.276000
4500,139101,40491001,0.262000
4400,135992,38711201,0.259000
4300,132853,36971401,0.286000
4200,129764,35271601,0.233000
4100,126631,33611801,0.220000
4000,123500,31992001,0.209000
3900,120416,30412201,0.213000
3800,117249,28872401,0.189000
3700,114157,27372601,0.179000
3600,111066,25912801,0.170000
3500,107949,24493001,0.161000
3400,104924,23113201,0.152000
3300,101807,21773401,0.145000
3200,98724,20473601,0.135000
3100,95632,19213801,0.127000
3000,92590,17994001,0.120000
2900,89537,16814201,0.111000
2800,86345,15674401,0.107000
2700,83278,14574601,0.102000
2600,80216,13514801,0.102000
2500,77169,12495001,0.085000
2400,74117,11515201,0.079000
2300,70966,10575401,0.072000
2200,67863,9675601,0.066000
2100,64795,8815801,0.060000
2000,61731,7996001,0.055000
1900,58614,7216201,0.049000
1800,55457,6476401,0.045000
1700,52415,5776601,0.041000
1600,49357,5116801,0.036000
1500,46165,4497001,0.031000
1400,43086,3917201,0.027000
1300,39952,3377401,0.024000
1200,36875,2877601,0.021000
1100,33844,2417801,0.017000
1000,30781,1998001,0.014000
900,27657,1618201,0.012000
800,24604,1278401,0.009000
700,21513,978601,0.009000
600,18427,718801,0.005000
500,15316,499001,0.004000
400,12255,319201,0.003000
300,9181,179401,0.001000
200,6111,79601,0.001000
100,3032,19801,0.000000
