1000: 499500 , 0.001571
2000: 1999000 , 0.005750
3000: 4498500 , 0.012357
4000: 7998000 , 0.022000
5000: 12497500 , 0.035250
6000: 17997000 , 0.050214
7000: 24496500 , 0.071071
8000: 31996000 , 0.089607
9000: 40495500 , 0.115250
10000: 49995000 , 0.145893
11000: 60494500 , 0.180786
12000: 71994000 , 0.226179
13000: 84493500 , 0.273107
14000: 97993000 , 0.331571
15000: 112492500 , 0.396429
16000: 127992000 , 0.450536
17000: 144491500 , 0.521500
18000: 161991000 , 0.591250
19000: 180490500 , 0.674893
20000: 199990000 , 0.763500
21000: 220489500 , 0.861429
22000: 241989000 , 0.970929
23000: 264488500 , 1.073000
24000: 287988000 , 1.178857
25000: 312487500 , 1.319464
26000: 337987000 , 1.598750
27000: 364486500 , 1.650643
28000: 391986000 , 1.657357
29000: 420485500 , 1.789679
30000: 449985000 , 1.927536
31000: 480484500 , 2.073179
32000: 511984000 , 2.222786
33000: 544483500 , 2.377821
34000: 577983000 , 2.536321
35000: 612482500 , 2.703857
36000: 647982000 , 2.869964
37000: 684481500 , 3.046000
38000: 721981000 , 3.220000
39000: 760480500 , 3.398357
40000: 799980000 , 3.595250
41000: 840479500 , 3.784679
42000: 881979000 , 4.025321
43000: 924478500 , 4.253036
44000: 967978000 , 4.512214
45000: 1012477500 , 4.699714
46000: 1057977000 , 4.928250
47000: 1104476500 , 5.137714
48000: 1151976000 , 5.345821
49000: 1200475500 , 5.594214
50000: 1249975000 , 5.860393
51000: 1300474500 , 6.087179
52000: 1351974000 , 6.337036
53000: 1404473500 , 6.586214
54000: 1457973000 , 6.877929
55000: 1512472500 , 7.129286
56000: 1567972000 , 7.416643
57000: 1624471500 , 7.666964
58000: 1681971000 , 7.936500
59000: 1740470500 , 8.261179
60000: 1799970000 , 8.556536
61000: 1860469500 , 8.844750
62000: 1921969000 , 9.126571
63000: 1984468500 , 9.476107
64000: 2047968000 , 9.754214
65000: 2112467500 , 10.057143
66000: 2177967000 , 10.404607
67000: 2244466500 , 10.757464
68000: 2311966000 , 11.051429
69000: 2380465500 , 11.432429
70000: 2449965000 , 11.743607
71000: 2520464500 , 12.169464
72000: 2591964000 , 12.502000
73000: 2664463500 , 12.842429
74000: 2737963000 , 13.219893
75000: 2812462500 , 13.591250
76000: 2887962000 , 13.938821
77000: 2964461500 , 14.354821
78000: 3041961000 , 14.731929
79000: 3120460500 , 15.118036
80000: 3199960000 , 15.565679
81000: 3280459500 , 15.933821
82000: 3361959000 , 16.344893
83000: 3444458500 , 16.750679
84000: 3527958000 , 17.168429
85000: 3612457500 , 17.581964
86000: 3697957000 , 17.985714
87000: 3784456500 , 18.482250
88000: 3871956000 , 18.859679
89000: 3960455500 , 19.347964
90000: 4049955000 , 19.785286
91000: 4140454500 , 20.215929
92000: 4231954000 , 20.716893
