10,0
30,0
50,0
70,0
90,0
110,0
130,0
150,0
170,0.107143
190,0.071429
210,0.071429
230,0.214286
250,0.071429
270,0.071429
290,0.107143
310,0.178571
330,0.321429
350,0.285714
370,0.357143
390,0.321429
410,0.571429
430,0.464286
450,0.535714
470,0.392857
490,0.571429
510,0.5
530,0.428571
550,0.571429
570,0.714286
590,0.821429
610,0.964286
630,0.892857
650,0.964286
670,0.964286
690,1.035714
710,1.071429
730,1.071429
750,1.214286
770,1.25
790,1.321429
810,1.357143
830,1.428571
850,1.464286
870,1.785714
890,1.714286
910,1.892857
930,1.857143
950,2
970,2.071429
990,2.107143
